orderline_id,order_id,product_id,quantity,unit_price,discount
1,828,16,8,27.46,0.12
2,822,93,10,631.53,0.07
3,189,975,1,914.05,0.16
4,317,362,7,668.54,0.07
5,738,460,2,629.48,0.28
6,838,187,9,994.15,0.15
7,225,5,8,275.81,0.27
8,614,521,7,693.93,0.26
9,879,592,9,631.61,0.12
10,463,692,2,883.18,0.21
11,244,788,8,969.02,0.07
12,431,38,10,597.76,0.26
13,968,933,4,421.01,0.05
14,295,785,6,904.63,0.11
15,225,523,2,162.86,0.14
16,533,793,10,164.32,0.07
17,643,975,4,483.17,0.07
18,520,802,1,275.87,0.24
19,90,553,8,306.37,0.13
20,780,819,9,99.04,0.22
21,479,75,4,221.35,0.19
22,449,634,1,842.21,0.02
23,530,602,2,413.32,0.05
24,829,750,6,220.82,0.02
25,857,410,3,767.0,0.29
26,157,420,2,100.25,0.26
27,41,904,1,368.87,0.29
28,77,784,8,495.16,0.22
29,168,884,9,621.82,0.11
30,52,728,6,493.16,0.13
31,667,664,2,983.07,0.28
32,913,499,9,27.05,0.25
33,500,131,1,360.35,0.26
34,237,785,10,366.65,0.22
35,899,825,3,233.53,0.05
36,141,537,10,582.51,0.18
37,443,628,8,977.99,0.07
38,120,802,8,346.38,0.23
39,993,922,8,581.29,0.13
40,221,474,1,834.04,0.22
41,566,32,10,511.21,0.25
42,2,754,9,814.7,0.16
43,832,481,3,131.23,0.05
44,900,345,7,723.99,0.23
45,648,176,8,902.14,0.04
46,53,878,7,785.49,0.04
47,102,464,10,609.44,0.28
48,434,86,5,788.42,0.23
49,503,912,7,670.57,0.02
50,859,48,3,823.04,0.04
51,931,991,5,251.92,0.25
52,66,904,1,69.66,0.15
53,684,30,5,522.82,0.03
54,712,703,10,866.5,0.07
55,518,520,4,635.99,0.12
56,895,449,10,171.42,0.27
57,201,696,6,746.22,0.06
58,166,713,8,490.44,0.27
59,479,303,10,961.24,0.1
60,279,778,9,403.2,0.3
61,408,738,1,43.54,0.08
62,342,411,3,191.79,0.0
63,866,844,4,296.68,0.0
64,269,141,10,800.15,0.28
65,651,883,8,959.67,0.3
66,303,232,7,911.6,0.01
67,974,692,9,253.16,0.13
68,612,591,2,453.69,0.16
69,547,322,1,643.01,0.0
70,724,151,8,551.77,0.25
71,960,835,6,157.75,0.14
72,784,695,7,619.17,0.08
73,874,604,5,219.12,0.12
74,90,298,10,265.27,0.19
75,963,44,8,609.37,0.14
76,905,136,2,40.32,0.21
77,621,975,1,431.36,0.2
78,658,926,10,401.69,0.12
79,662,342,10,751.35,0.27
80,867,417,5,775.29,0.01
81,113,338,8,359.29,0.25
82,717,6,4,670.62,0.13
83,141,254,7,793.6,0.28
84,682,253,9,559.38,0.08
85,763,706,5,98.49,0.25
86,295,539,1,411.49,0.23
87,863,694,7,259.63,0.24
88,596,612,2,967.44,0.08
89,693,649,6,436.03,0.07
90,224,331,9,635.62,0.07
91,620,350,4,677.45,0.27
92,543,914,7,915.45,0.14
93,952,856,4,276.79,0.11
94,151,61,9,366.45,0.26
95,995,561,1,137.23,0.11
96,91,90,8,839.91,0.01
97,381,533,4,510.68,0.01
98,232,363,9,368.46,0.26
99,503,264,4,517.1,0.16
100,261,260,5,360.43,0.29
101,948,120,9,673.28,0.22
102,929,347,10,240.53,0.12
103,348,150,10,432.15,0.04
104,633,448,4,177.24,0.08
105,669,40,6,113.57,0.25
106,89,156,2,162.12,0.11
107,790,752,2,23.95,0.19
108,446,251,3,519.96,0.27
109,488,768,1,491.84,0.16
110,44,275,6,261.38,0.19
111,963,542,9,673.23,0.24
112,714,956,10,228.45,0.08
113,864,272,1,691.25,0.02
114,181,548,9,555.49,0.1
115,103,575,10,948.06,0.29
116,370,530,4,968.69,0.05
117,697,337,3,633.89,0.08
118,391,783,4,474.8,0.21
119,117,795,3,587.71,0.27
120,881,779,9,714.25,0.16
121,522,594,7,953.52,0.12
122,111,117,9,747.45,0.2
123,172,636,10,153.02,0.18
124,572,429,3,394.9,0.04
125,129,816,2,746.15,0.12
126,248,754,8,618.94,0.06
127,712,568,9,384.64,0.02
128,238,287,4,988.56,0.15
129,857,823,3,682.8,0.05
130,210,465,2,874.83,0.28
131,387,47,3,453.97,0.19
132,177,531,1,857.54,0.01
133,534,353,1,242.12,0.13
134,768,340,6,851.29,0.24
135,174,644,6,923.24,0.12
136,919,351,5,664.36,0.25
137,785,289,7,270.76,0.29
138,183,375,9,388.51,0.05
139,724,561,5,548.16,0.25
140,788,536,2,255.34,0.16
141,733,743,4,82.72,0.25
142,828,473,1,598.3,0.3
143,355,249,5,616.75,0.01
144,25,498,3,487.42,0.07
145,377,779,8,637.98,0.26
146,516,474,5,722.98,0.12
147,515,85,4,176.94,0.3
148,988,698,8,679.33,0.09
149,913,994,5,68.32,0.01
150,769,954,7,746.93,0.02
151,704,626,7,86.57,0.27
152,441,222,8,378.52,0.07
153,737,393,4,714.35,0.05
154,653,480,10,540.45,0.0
155,195,940,1,104.16,0.19
156,588,87,4,344.05,0.04
157,680,528,1,384.03,0.25
158,111,83,1,719.62,0.05
159,584,474,2,719.87,0.07
160,464,331,2,377.36,0.27
161,626,834,2,650.23,0.07
