order_id,customer_id,store_id,order_date,status
1,313,407,2025-07-30,Cancelled
2,118,835,2025-10-28,Pending
3,816,236,2026-01-06,Pending
4,858,63,2025-08-24,Pending
5,586,239,2025-04-09,Completed
6,340,185,2025-04-24,Completed
7,86,284,2025-05-30,Pending
8,438,258,2025-04-26,Cancelled
9,872,97,2025-10-25,Pending
10,334,708,2025-06-04,Cancelled
11,652,574,2025-02-10,Pending
12,176,71,2025-12-10,Pending
13,451,24,2025-12-13,Completed
14,276,789,2025-09-24,Pending
15,694,712,2025-07-21,Pending
16,266,580,2026-01-24,Pending
17,16,697,2025-10-08,Completed
18,812,479,2025-05-05,Cancelled
19,660,14,2025-05-03,Cancelled
20,612,672,2025-02-26,Cancelled
21,734,558,2025-05-09,Cancelled
22,741,468,2025-08-11,Pending
23,26,660,2025-12-12,Pending
24,692,262,2025-06-07,Completed
25,977,33,2025-02-14,Completed
26,166,364,2025-08-16,Completed
27,877,734,2025-11-18,Completed
28,509,737,2025-10-05,Pending
29,942,410,2025-07-29,Cancelled
30,272,492,2025-05-17,Cancelled
31,5,529,2025-07-18,Pending
32,89,93,2025-06-25,Pending
33,879,615,2025-07-21,Cancelled
34,543,626,2025-03-02,Cancelled
35,974,675,2025-04-10,Completed
36,443,662,2025-09-09,Cancelled
37,777,43,2025-03-09,Completed
38,119,587,2025-07-28,Pending
39,44,711,2025-05-31,Cancelled
40,820,659,2025-10-04,Cancelled
41,969,149,2026-01-27,Cancelled
42,78,897,2025-11-12,Cancelled
43,841,774,2025-07-21,Completed
44,911,446,2025-02-09,Cancelled
45,616,240,2025-07-30,Completed
46,307,289,2025-09-19,Pending
47,275,884,2025-06-17,Completed
48,642,446,2025-06-16,Completed
49,951,242,2025-11-10,Completed
50,4,619,2026-01-15,Completed
51,116,496,2025-07-10,Completed
52,498,137,2025-07-20,Cancelled
53,307,606,2025-05-20,Completed
54,94,436,2025-02-26,Pending
55,452,900,2025-06-17,Completed
56,118,429,2025-11-30,Completed
57,406,660,2025-04-30,Cancelled
58,50,517,2025-04-18,Completed
59,917,588,2025-05-04,Pending
60,26,236,2025-10-28,Pending
61,44,892,2025-11-03,Pending
62,672,104,2025-02-20,Pending
63,681,472,2025-11-23,Cancelled
64,533,819,2025-09-25,Cancelled
65,346,395,2025-02-08,Completed
66,403,475,2025-09-10,Cancelled
67,239,196,2025-08-16,Cancelled
68,748,575,2025-07-23,Pending
69,880,422,2025-09-07,Pending
70,822,801,2025-10-20,Pending
71,18,537,2025-10-25,Pending
72,280,64,2025-10-03,Completed
73,490,205,2025-05-04,Completed
74,583,290,2025-08-12,Cancelled
75,103,926,2025-12-21,Cancelled
76,692,187,2025-05-07,Cancelled
77,382,65,2025-10-17,Pending
78,921,891,2026-01-08,Completed
79,105,52,2025-12-15,Pending
80,853,618,2025-08-26,Completed
81,430,467,2025-06-25,Cancelled
82,721,566,2026-01-01,Completed
83,192,668,2025-09-08,Cancelled
84,384,634,2025-08-14,Pending
85,818,773,2025-06-15,Pending
86,195,333,2025-09-08,Completed
87,881,427,2025-05-17,Cancelled
88,354,537,2025-02-01,Pending
89,446,946,2026-01-08,Completed
90,291,142,2025-10-27,Pending
91,212,338,2025-06-03,Completed
92,818,610,2025-04-23,Pending
93,179,512,2025-11-03,Cancelled
94,922,140,2025-04-29,Completed
95,50,942,2025-03-23,Completed
96,606,976,2025-12-18,Cancelled
97,893,381,2025-03-07,Completed
98,89,765,2025-05-15,Completed
99,933,338,2025-04-09,Pending
100,324,820,2025-05-25,Pending
101,624,367,2025-06-24,Cancelled
102,291,279,2025-05-10,Completed
103,542,955,2025-06-25,Cancelled
104,458,726,2025-06-03,Completed
105,723,178,2025-04-18,Completed
106,750,976,2025-05-17,Pending
107,117,407,2025-07-08,Cancelled
108,565,212,2025-06-15,Pending
109,810,138,2025-11-23,Completed
110,739,509,2026-01-18,Cancelled
111,699,148,2025-06-09,Completed
112,3,942,2025-11-29,Completed
113,780,654,2025-10-21,Cancelled
114,214,654,2025-10-20,Completed
115,134,336,2025-12-30,Cancelled
116,472,290,2025-10-28,Cancelled
117,570,731,2025-03-02,Completed
118,327,575,2025-04-03,Pending
119,163,987,2026-01-18,Pending
120,188,687,2025-02-15,Cancelled
121,56,672,2025-12-11,Completed
122,928,956,2025-11-02,Pending
123,861,207,2025-09-18,Cancelled
124,793,505,2025-03-29,Pending
125,891,906,2025-04-26,Cancelled
126,11,808,2025-12-23,Cancelled
127,266,645,2025-08-26,Completed
128,528,598,2025-05-11,Cancelled
129,615,806,2026-01-15,Pending
130,414,401,2025-03-28,Completed
131,490,930,2025-06-05,Pending
132,87,746,2025-10-16,Completed
133,353,704,2025-02-25,Pending
134,144,33,2025-11-08,Cancelled
135,529,355,2025-07-21,Cancelled
136,390,423,2025-06-29,Cancelled
137,157,991,2025-02-12,Pending
138,218,203,2025-03-11,Pending
139,860,327,2025-10-27,Completed
140,668,480,2025-12-31,Cancelled
141,576,563,2025-03-17,Completed
142,587,443,2025-08-31,Pending
143,474,284,2025-12-07,Cancelled
144,51,300,2025-11-11,Completed
145,524,184,2025-05-22,Pending
146,521,694,2025-05-05,Completed
147,683,386,2025-03-27,Completed
148,365,76,2025-09-11,Completed
149,660,996,2026-01-19,Completed
150,594,121,2025-08-16,Pending
151,849,424,2025-09-23,Cancelled
152,816,369,2025-03-09,Cancelled
153,161,91,2025-03-11,Pending
154,501,573,2025-08-21,Completed
155,920,273,2025-08-15,Cancelled
156,51,718,2025-02-06,Cancelled
157,46,740,2025-02-19,Pending
158,124,672,2025-11-22,Cancelled
159,324,904,2025-02-04,Pending
160,666,698,2025-08-27,Completed
161,532,61,2025-04-22,Pending
162,138,910,2025-04-15,Cancelled
163,424,737,2025-12-01,Cancelled
164,670,563,2025-03-31,Cancelled
165,278,477,2025-12-16,Cancelled
166,586,702,2025-12-07,Cancelled
167,665,481,2025-06-12,Cancelled
168,196,831,2025-06-29,Cancelled
169,911,520,2025-06-09,Cancelled
170,822,108,2025-07-10,Pending
171,251,332,2025-02-26,Completed
172,989,801,2025-12-04,Cancelled
173,551,453,2025-04-30,Completed
174,385,763,2025-03-09,Pending
175,88,223,2026-01-15,Completed
176,801,973,2025-09-01,Pending
177,890,412,2025-02-17,Pending
178,307,740,2025-10-25,Pending
179,948,185,2025-05-26,Completed
180,70,655,2026-01-25,Cancelled
181,546,344,2025-06-26,Pending
182,53,591,2025-07-30,Completed
183,399,796,2025-03-28,Completed
184,812,805,2025-10-01,Cancelled
185,954,151,2026-01-01,Completed
186,843,512,2025-05-15,Completed
187,142,880,2025-11-25,Completed
188,942,584,2025-06-24,Cancelled
189,50,275,2025-04-05,Pending
190,905,823,2025-08-06,Completed
191,284,220,2026-01-11,Completed
192,591,994,2025-05-01,Pending
193,363,988,2025-05-22,Cancelled
194,888,270,2025-08-22,Cancelled
195,585,797,2026-01-17,Cancelled
196,640,149,2025-05-27,Cancelled
197,877,703,2025-02-03,Cancelled
198,837,613,2025-02-27,Cancelled
199,689,261,2025-07-11,Pending
200,373,453,2025-10-03,Cancelled
201,754,21,2025-11-03,Completed
202,949,732,2025-04-04,Cancelled
203,252,145,2025-07-18,Completed
204,601,845,2025-03-15,Pending
205,220,314,2025-11-06,Completed
206,390,103,2025-09-28,Cancelled
207,706,268,2025-06-23,Pending
208,620,963,2025-07-19,Pending
